q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_fe56,	xn_co56,	xn_ni56,
0.6140350476012328	9.637800755131389e-23	0.0	0.007341407744272151	0.4963292633318101	3.4557301493728635e-14	0.4963292533905414	0.0	7.036954302075319e-08	3.5338282593687204e-16	2.592134621039234e-09	1.2719613741845075e-09	0.0	0.0	1.2997023851331946e-09
0.6150670237709263	4.6998681249995666e-23	0.0	0.007311033400308688	0.49634445404077626	2.274318726039533e-14	0.49634444409926465	0.0	6.436419070570712e-08	2.227925468931067e-16	2.4228610153789258e-09	9.532541921713322e-10	0.0	0.0	7.193215849807376e-10
0.6160990898752593	6.016706352212602e-23	0.0	0.0071721625994473435	0.4964138949948212	2.2001858800103354e-14	0.49641387510957574	0.0	6.372755052244838e-08	2.228229445092067e-16	1.981537266108404e-09	8.543597766957938e-10	0.0	0.0	7.326858673205859e-10
0.617131093088236	5.910881647252892e-23	0.0	0.007181737195986202	0.49640910604553434	2.0143276295127907e-14	0.4964090961029882	0.0	5.700912373286048e-08	1.9884719389093262e-16	2.17624040222542e-09	8.462029016388506e-10	0.0	0.0	6.239038961170529e-10
0.6181630762545927	8.441315704045712e-23	0.0	0.007138516087855168	0.4964307114457457	3.0411074394422314e-14	0.49643070150285384	0.0	6.61789145704913e-08	3.0620086906319185e-16	2.550014092213316e-09	1.1577171147113688e-09	0.0	0.0	1.0768687767107845e-09
0.6191950169692839	7.739730340063798e-23	0.0	0.007240921345585821	0.4963795098454248	2.7804163325786932e-14	0.4963794999033522	0.0	6.447401878671545e-08	2.8129052363122455e-16	2.4115380978533873e-09	1.065402145260163e-09	0.0	0.0	9.546503097011669e-10
0.6202270355120287	5.530999660201361e-23	0.0	0.007055329300580342	0.49647231184410573	2.1976177518548012e-14	0.49647229195699105	0.0	6.325505403454738e-08	2.2095596659109843e-16	2.065385144436107e-09	8.623727295547612e-10	0.0	0.0	7.154886781973021e-10
0.6212590831420259	1.2978958083283276e-22	0.0	0.007243410747237646	0.49637826699417353	3.944481272809969e-14	0.49637824711006806	0.0	6.908066303863916e-08	3.9957684452899393e-16	3.0888967511188037e-09	1.475412948860549e-09	0.0	0.0	1.5035081955861493e-09
0.6222910507427719	6.78588697154876e-23	0.0	0.007024507937222952	0.4964877263239923	2.422777100745429e-14	0.4964877064363844	0.0	5.544827452667905e-08	2.4417193511623247e-16	2.049576991021449e-09	9.353284370112606e-10	0.0	0.0	8.691959160676453e-10
0.6233229882342812	1.1011847203897608e-22	0.0	0.006958833883579098	0.4965205563083381	3.181282366164327e-14	0.49652054636400866	0.0	5.871815357648207e-08	3.2483200740058043e-16	2.3738691468718117e-09	1.1404843124389505e-09	0.0	0.0	1.211534954969931e-09
0.6243549845292087	9.768561425010264e-23	0.0	0.007113916532277544	0.4964430160617	3.3923355680861036e-14	0.4964429961755227	0.0	6.616526546392833e-08	3.4645733999643716e-16	2.563112994420927e-09	1.2276457166759242e-09	0.0	0.0	1.2744413720957567e-09
