q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ca40,	xn_ti44,	xn_ni56,
0.3188853856760343	2.4110346726930122e-20	0.0	0.004737065632246317	0.49761643692057317	9.812264416760595e-12	0.49754397690937247	0.0	9.949647237996961e-05	1.266273695738105e-13	2.439180977043813e-06	4.812385943889184e-07	2.0131845111941146e-08	1.4962365312853095e-10	8.335444888476728e-08
0.3199174072061185	3.541879114736745e-20	0.0	0.004863139081361613	0.49755292040414806	1.0780358175432268e-11	0.4974766503887571	0.0	0.00010393925097451651	1.3744186773520778e-13	2.696496544141994e-06	5.37374048439889e-07	2.542417713049515e-08	1.7336953498526436e-10	9.139570144327943e-08
0.32094947779146066	2.808489253040581e-20	0.0	0.004705796759097403	0.4976314502734927	9.954062405701077e-12	0.4975527202607926	0.0	0.00010689424724323207	1.264763404020417e-13	2.5706663146770934e-06	4.62682754635879e-07	1.9865573204538105e-08	1.5418235487133022e-10	8.508046872442674e-08
0.3219814108019608	1.9755299617427645e-20	0.0	0.004716338124879097	0.4976289859320734	8.840428371289834e-12	0.4975691459241451	0.0	8.295749199123967e-05	1.1248599490354277e-13	2.0630887733436443e-06	4.0825035409008135e-07	1.690266623947532e-08	1.2939740714417685e-10	8.414676714880963e-08
0.32301342038268727	2.5609753427870548e-20	0.0	0.004740555034524226	0.49761594660599257	9.073351114469836e-12	0.49754913659705	0.0	9.153522925200847e-05	1.164681355892829e-13	2.3003231078987014e-06	4.286777873786064e-07	1.6435802199935363e-08	1.243229666406536e-10	8.096297083690961e-08
0.32404540913065194	1.926117734306017e-20	0.0	0.004712210973225283	0.4976310405352129	8.539989638862227e-12	0.49756720052744696	0.0	8.690411757160593e-05	1.09085963269956e-13	2.169523963915601e-06	3.9149357762393254e-07	1.494143681757765e-08	1.163245741505097e-10	6.776259124310093e-08
0.3250773308993221	2.3708918420819933e-20	0.0	0.004645569670281835	0.49766277180482466	9.275035038240074e-12	0.4975918017945848	0.0	9.686067797545565e-05	1.187302171308824e-13	2.44999915349592e-06	4.476359145867446e-07	1.7840673574125515e-08	1.324981291173732e-10	8.043469960544816e-08
0.32610934849869644	2.0106700923151535e-20	0.0	0.0046608175775987816	0.49765622235023566	8.477344632452956e-12	0.4975926023409864	0.0	8.765617074362566e-05	1.0950132591951708e-13	2.1912377185664284e-06	4.23424131558229e-07	1.7296955514665247e-08	1.2369805798346577e-10	6.946934509958938e-08
0.3271412931440974	1.9355160478352064e-20	0.0	0.004625074892222623	0.4976736437251499	8.746026419894237e-12	0.4976063937165388	0.0	9.22360538104634e-05	1.1071501417662151e-13	2.1853392798240876e-06	3.7573181811097944e-07	1.454470386239204e-08	1.2855303646070998e-10	7.58590667134547e-08
0.32817340099256825	1.8373470207468223e-20	0.0	0.004580842050362187	0.49769718979549415	7.689337323830261e-12	0.497638359788426	0.0	8.115890575078215e-05	9.796168476954074e-14	2.0136801419322463e-06	3.5547879270876045e-07	1.4396085729608036e-08	1.2625621516896806e-10	6.57709029020009e-08
0.32920534461598466	1.9625468282739482e-20	0.0	0.004664408542541426	0.49765483788480214	7.537029176670754e-12	0.49759305787761615	0.0	8.527564391885015e-05	9.497450004697418e-14	1.9876248311909007e-06	3.5254427100624326e-07	1.4608102699143804e-08	1.179219837161144e-10	6.514836257774222e-08
0.33023729555052145	2.2730975953671442e-20	0.0	0.004542170490211318	0.49771538467332166	8.253417572452138e-12	0.49765199466508475	0.0	8.783467941327081e-05	1.0541572369775821e-13	2.130929076893714e-06	3.9086522078917173e-07	1.593024106998143e-08	1.3620832769896062e-10	7.762286308634361e-08
0.3312692793457918	1.6168676818957197e-20	0.0	0.004457330801444494	0.4977589959973039	7.503648644151682e-12	0.49770002599066987	0.0	8.13548001523197e-05	9.457256663930295e-14	1.878741511356219e-06	3.2894127700550826e-07	1.3632932533688941e-08	1.1608438305935709e-10	7.097102598415728e-08
0.3323013803548277	1.5428702484707803e-20	0.0	0.0045812176408516906	0.49769719789352274	6.4135605171784934e-12	0.49763933788795484	0.0	8.015932071375098e-05	8.091429378640222e-14	1.7303086665080248e-06	2.915156780526248e-07	1.1601685116432988e-08	1.0202886981826302e-10	5.372240416972006e-08
0.33333332751588296	1.9303700327432387e-20	0.0	0.004472201639209931	0.49775114001347426	7.832344644339805e-12	0.49769116000624253	0.0	8.300730400812716e-05	1.0076517214917975e-13	2.038622045795101e-06	3.692374345186751e-07	1.4035930692301427e-08	1.1630164402240026e-10	6.901741932137744e-08
0.33436531280482296	1.723830885639513e-20	0.0	0.004522553487034217	0.49772647360021155	7.349664691486094e-12	0.4976697935941077	0.0	7.881610648771404e-05	9.383737810535622e-14	1.9331483081809263e-06	3.5219246792764055e-07	1.3818124488075148e-08	1.0877481171396986e-10	6.393703988538593e-08
0.3353973954967512	1.6292645932099677e-20	0.0	0.00450345733405251	0.497736419025181	7.466934085482997e-12	0.49768179901870374	0.0	7.590198000100522e-05	9.644829543753577e-14	1.9899906359874685e-06	3.6111922282412677e-07	1.4280949693538204e-08	1.1108415317316153e-10	5.713260577519722e-08
0.336429305866363	1.635431446316177e-20	0.0	0.004550620107127634	0.4977131945286116	6.62566369277433e-12	0.49765899452376255	0.0	7.51096637197918e-05	8.283995741139342e-14	1.7173855536483163e-06	2.884297458047733e-07	1.1187529000908034e-08	9.960982591173332e-11	6.406763173190087e-08
0.3374612507476066	1.3148974268216743e-20	0.0	0.004416150325937086	0.4977807280108821	6.211775399124875e-12	0.49772729800572885	0.0	7.388509112620677e-05	7.760660448514623e-14	1.5928083536261447e-06	2.766354766814534e-07	1.1654954124118708e-08	1.1070443067742697e-10	5.735054753145235e-08
0.3384933273862419	1.6806347631262316e-20	0.0	0.004423912429395	0.4977767383153421	6.895575069300196e-12	0.49772369831019386	0.0	7.340824812517148e-05	8.875676261493319e-14	1.8421111787994994e-06	3.297393620052523e-07	1.218791818298705e-08	9.602989532088e-11	5.855547068352712e-08
0.3395252083541445	1.0888901827243297e-20	0.0	0.004239008622042711	0.49786986782378756	5.575516723578878e-12	0.4978209578200718	0.0	6.833455919146069e-05	7.068176536978083e-14	1.5232480157230291e-06	2.5151509910791213e-07	9.30288340675152e-09	8.521841647414814e-11	4.701804357201873e-08
