q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_fe56,	xn_co56,	xn_ni56,
0.15995874373560598	0.0	0.0	0.010523995554087343	0.4945058135637002	4.1507379082296987e-10	0.49328673878813617	0.0	0.00157795252527359	4.046479744588447e-12	8.883168266752153e-05	1.6667467014865214e-05	0.0	0.0	4.3511507e-06
0.16099067360153824	0.0	0.0	0.010608933080443533	0.4944791003027623	3.7856680924007054e-10	0.4933682478339491	0.0	0.0014453909238550272	3.742058902907409e-12	8.259654310858982e-05	1.5730933572566987e-05	0.0	0.0	4.0429412e-06
0.16202265802572208	0.0	0.0	0.010214042260414063	0.4946610825826823	4.0517101016263747e-10	0.4934306679752839	0.0	0.0015903906810098476	3.941298990833188e-12	8.769324608824499e-05	1.6122845409322614e-05	0.0	0.0	4.2321525e-06
0.1630547067563179	0.0	0.0	0.010369333570857783	0.4946158449165318	3.2275689150445943e-10	0.4935867348360775	0.0	0.00133892881522552	3.2245737857063683e-12	7.534525803031176e-05	1.381227729556584e-05	0.0	0.0	3.5879863999999996e-06
0.16408666948298392	0.0	0.0	0.010251085064904453	0.49467161124103265	3.3982332865006597e-10	0.4936216199673784	0.0	0.001366222669000069	3.3300241541458324e-12	7.546570326792452e-05	1.3995011263076322e-05	0.0	0.0	4.0628552e-06
0.1651185871637158	0.0	0.0	0.01004475143686982	0.49476920791127504	3.3980927390310357e-10	0.49365729690403903	0.0	0.0014379482348043484	3.386143920745073e-12	7.681855545651769e-05	1.3976614359897839e-05	0.0	0.0	3.4083918999999997e-06
0.16615065216745004	0.0	0.0	0.010249799729515946	0.4946897567546438	3.057535152904288e-10	0.4937420877188344	0.0	0.0012392209156903977	3.031715206716956e-12	6.659882800472159e-05	1.2535744525481166e-05	0.0	0.0	3.5547048e-06
0.1671826129287611	0.0	0.0	0.010226005905919147	0.4946845627128614	3.103580700335419e-10	0.4936042327921382	0.0	0.0013991819487571943	3.073668525650436e-12	7.323363950814187e-05	1.2782687384051897e-05	0.0	0.0	3.2985607999999997e-06
0.16821466889186282	0.0	0.0	0.010062750584389739	0.4947823473277791	2.895693315835538e-10	0.4938084689480956	0.0	0.0012679295098304603	2.8580429918753746e-12	6.648363205479364e-05	1.201970542290114e-05	0.0	0.0	3.0481581e-06
0.16924657698166296	0.0	0.0	0.009982547180243124	0.4948304791981275	2.803223112175835e-10	0.49390451169578614	0.0	0.0012077374852882312	2.8052596286760277e-12	6.326456057990056e-05	1.1459596847543056e-05	0.0	0.0	2.8224746e-06
0.17027866415460044	0.0	0.0	0.009852349611541454	0.4948899311076398	3.0626236694255134e-10	0.4939455325754244	0.0	0.0012329968395711304	3.1189523783300295e-12	6.625456158012425e-05	1.2934994861852935e-05	0.0	0.0	2.951103e-06
0.1713105601378144	0.0	0.0	0.00978361660876194	0.494919095825116	2.9813208786204297e-10	0.493927017113792	0.0	0.0012916328416727931	3.0204900225599765e-12	6.625484677584902e-05	1.2382462728917472e-05	0.0	0.0	2.9783315e-06
0.17234257419955004	0.0	0.0	0.009781410185387248	0.49492751824162085	2.718462029899434e-10	0.49396699021034973	0.0	0.0012480669354725644	2.7455911567344304e-12	6.443143073106367e-05	1.1582721846709592e-05	0.0	0.0	2.9394412999999996e-06
0.17337458755375793	0.0	0.0	0.009719668569963156	0.4949665371307029	2.70512697332461e-10	0.49406429973526345	0.0	0.0011775952524865744	2.730729483182693e-12	6.0558369383495266e-05	1.1340668956943076e-05	0.0	0.0	2.8301284e-06
0.1744065123883817	0.0	0.0	0.009612180343179738	0.49503236241078846	2.3327395227525683e-10	0.4941772561708025	0.0	0.0011132636238436727	2.3439750047415033e-12	5.520490884802255e-05	9.732306919782105e-06	0.0	0.0	2.5894997e-06
0.17543864405695367	0.0	0.0	0.009631646841103441	0.4950088795716368	2.610876534985626e-10	0.49407995247894293	0.0	0.0012084797271793278	2.625252644752418e-12	6.043553744716312e-05	1.060557997743481e-05	0.0	0.0	2.6857355e-06
0.17647055859311783	0.0	0.0	0.009432664128551708	0.4951326456568563	2.4305166031645894e-10	0.49436348011777415	0.0	0.0010104017763249463	2.5369099693476292e-12	5.055109203951447e-05	1.025698286481501e-05	0.0	0.0	2.3231016e-06
0.17750248374219837	0.0	0.0	0.009465078986244206	0.4951139935581765	2.156262514735671e-10	0.49433457805856745	0.0	0.0010257298376198365	2.2314026449295653e-12	5.116919605334445e-05	9.450145480872372e-06	0.0	0.0	2.6015053999999997e-06
0.17853449717502048	0.0	0.0	0.009371783965423904	0.49515975135119367	2.3635238197609956e-10	0.4943745954979594	0.0	0.0010316227906129972	2.4206383455423155e-12	5.2192545088598354e-05	1.0053610948354897e-05	0.0	0.0	2.6085242999999997e-06
0.17956655588961914	0.0	0.0	0.009189214410170038	0.49523675762600294	2.4909325982502407e-10	0.49433905092338326	0.0	0.0011683092230410426	2.544160995673702e-12	5.6348872722116853e-05	1.0318693043287127e-05	0.0	0.0	2.5010479e-06
0.1805985203457975	0.0	0.0	0.009219834698506789	0.49525169321229223	1.9612027095580583e-10	0.4945530888630986	0.0	0.0009209661435172668	2.0898549104882774e-12	4.565388722038369e-05	8.762997154443557e-06	0.0	0.0	2.133457e-06
0.18163056207972983	0.0	0.0	0.009157229953945809	0.4952728583554705	2.0962812451999748e-10	0.49451458327498565	0.0	0.0009976647244086853	2.21257152435126e-12	4.8420575420526224e-05	9.242903927966162e-06	0.0	0.0	2.2685235e-06
0.18266250782572954	0.0	0.0	0.008990762547051166	0.49536136227842514	2.1613365465511602e-10	0.49463419751892873	0.0	0.0009590018969351766	2.2594325886171447e-12	4.564289574549652e-05	9.032644521180381e-06	0.0	0.0	2.1810599e-06
0.18369453996873014	0.0	0.0	0.009024259499742567	0.4953429061691669	2.042814916173991e-10	0.49458904136577747	0.0	0.0009888492006360214	2.1125673606146238e-12	4.642631281385987e-05	8.517245469208665e-06	0.0	0.0	2.2396117999999997e-06
0.18472650466075105	0.0	0.0	0.008877021066608983	0.4954240000128026	1.8257426029021453e-10	0.4947201159635871	0.0	0.0009268987721465397	1.9485689094818557e-12	4.389984154148048e-05	8.064158790477238e-06	0.0	0.0	2.0018159e-06
