q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ni56,	density,	T,
0.0	5.304684366573189e-11	0.0	1.1342644535559586e-09	8.50236568257012e-09	1.2416994351279976e-14	7.366156243193301e-09	0.0	2.717441897925402e-09	1.1699886707880035e-16	1.067182305704641e-09	7.543216823233717e-10	7.523523656046567e-08	1.0036358652819619e-07	0.9999998028063852
0.0010257639041609983	5.044349365869965e-11	0.0	1.0821354451295307e-09	7.986258695474666e-09	1.1839072245889116e-14	6.925658717960271e-09	0.0	2.484739526344883e-09	1.1049467472151002e-16	9.594410107646742e-10	6.918764153445378e-10	7.137101771804998e-08	1.0113394653040671e-07	0.9999998073144705
0.0020513881111721482	4.77094193252551e-11	0.0	1.0197676022258586e-09	7.306834515223196e-09	1.0774847253537829e-14	6.335862190814771e-09	0.0	2.241242978337398e-09	9.886000947053124e-17	8.555062726070673e-10	6.129902669825138e-10	6.72063229594631e-08	1.025007502342433e-07	0.9999998118730028
0.0030770505239476214	4.47827621001881e-11	0.0	9.637518575092464e-10	6.911696351423404e-09	1.0132969061537981e-14	6.013282323112634e-09	0.0	2.050406884171058e-09	9.251222597795607e-17	7.715556144782153e-10	5.533705875922114e-10	6.30174758974327e-08	1.0848728401249558e-07	0.9999998111863835
0.004102753408268689	4.2082858120703184e-11	0.0	9.11696384436615e-10	6.528586878582432e-09	9.677153945367623e-15	5.682125449108914e-09	0.0	1.8876282809304634e-09	8.774421543453231e-17	6.994990920079539e-10	5.101553314595939e-10	5.91413463987803e-08	1.1023647789559327e-07	0.9999998143603918
0.005128410195655517	3.942422135750284e-11	0.0	8.654286766028571e-10	6.317720833866306e-09	9.365386826597644e-15	5.537988062777382e-09	0.0	1.7321496116980742e-09	8.335751048862242e-17	6.29210560092281e-10	4.716450784016978e-10	5.55297011420454e-08	1.1563036607522228e-07	0.9999998132463563
0.006153930879890699	3.67393887269982e-11	0.0	8.21494498906282e-10	6.110056174304208e-09	9.007155376296578e-15	5.365051149535331e-09	0.0	1.620653938390436e-09	8.023340914783498e-17	5.809577653237291e-10	4.3401142037016224e-10	5.178065123221076e-08	1.1877133751634767e-07	0.9999998144790379
0.007179708925653795	3.3632141282959475e-11	0.0	7.712695917952478e-10	6.02217632053947e-09	8.62717795237745e-15	5.30717148244458e-09	0.0	1.508145143991211e-09	7.614325859405768e-17	5.219075762717569e-10	4.1033352450644346e-10	4.7544795597567025e-08	1.2306439730836412e-07	0.9999998148161626
0.008205242501404456	3.092283995558963e-11	0.0	7.259487765324176e-10	5.837190418155492e-09	8.004119384580709e-15	5.16706271488536e-09	0.0	1.3810003123907966e-09	7.056937720851187e-17	4.665651034855031e-10	3.758147229350712e-10	4.377467435724577e-08	1.298237320206412e-07	0.9999998124170806
0.00923091944643371	2.8159264895212507e-11	0.0	6.831021516383934e-10	5.908544705892205e-09	8.068897804452049e-15	5.248678772975923e-09	0.0	1.3349149095551355e-09	7.114574475561429e-17	4.389015820597763e-10	3.7593310042040025e-10	4.004920133079918e-08	1.3519118295717794e-07	0.9999998107413731
0.010256640457006989	2.5687880175075748e-11	0.0	6.45253994862194e-10	5.924085836309216e-09	7.887235348214695e-15	5.256348019531024e-09	0.0	1.2981290429598872e-09	6.954238453350106e-17	4.1222958457188683e-10	3.5769067597311915e-10	3.659432873737111e-08	1.4134815121698437e-07	0.999999808138087
0.011282230755425868	2.352164930704011e-11	0.0	6.219343588133594e-10	6.054974369299068e-09	7.309040529477648e-15	5.363021931173231e-09	0.0	1.2945968859790619e-09	6.482318391090629e-17	4.014331098470806e-10	3.369290153586396e-10	3.3477549480020244e-08	1.5139838210062238e-07	0.9999998010276497
0.012307857618870656	2.1592319386774992e-11	0.0	5.963767450305113e-10	6.157222730931502e-09	6.802786399154518e-15	5.45426990938031e-09	0.0	1.2838417067222928e-09	6.022127175755767e-17	3.9101924614009793e-10	3.1519444051574515e-10	3.0754209713383975e-08	1.5928785767914903e-07	0.9999997957384087
0.013333485576140978	1.953487717698075e-11	0.0	5.74677936530592e-10	6.384151982067242e-09	6.399025456678292e-15	5.656681215657462e-09	0.0	1.2855422133825773e-09	5.674132661009189e-17	3.801293710374062e-10	2.963321830219779e-10	2.7847156333259437e-08	1.6877236700308058e-07	0.9999997887834203
