"r_inner,","r_outer,","mass,","density,","l_z,","v_r,","u,","p,","T,","xn_n,","xn_p,","xn_he4,","xn_b11,","xn_c12,","xn_c13,","xn_n13,","xn_n14,","xn_n15,","xn_o15,","xn_o16,","xn_o17,","xn_f18,","xn_ne19,","xn_ne20,","xn_ne21,","xn_ne22,","xn_na22,","xn_na23,","xn_mg23,","xn_mg24,","xn_mg25,","xn_mg26,","xn_al25,","xn_al26,","xn_al27,","xn_si28,","xn_si29,","xn_si30,","xn_p29,","xn_p30,","xn_p31,","xn_s31,","xn_s32,","xn_s33,","xn_cl33,","xn_cl34,","xn_cl35,","xn_ar36,","xn_ar37,","xn_ar38,","xn_ar39,","xn_k39,","xn_ca40,","xn_sc43,","xn_ti44,","xn_v47,","xn_cr48,","xn_mn51,","xn_fe52,","xn_fe54,","xn_co55,","xn_ni56,","xn_ni58,",xn_ni59
1.5329531E8,1.5456689E8,1.379076E30,3642333.7,-1.8364176E15,-523492.92,9.1655031E16,1.9378614E23,1.3683579E8,1.0E-30,1.0E-30,1.9846998E-6,1.1E-29,0.49999901,1.53885E-23,7.8137389E-26,1.4000295E-29,2.3420138E-29,1.5E-29,0.49999901,2.8087385E-23,1.8E-29,1.9E-29,3.7988569E-20,2.1000005E-29,2.200067E-29,2.2E-29,1.8379615E-28,2.3E-29,2.4E-29,2.9286796E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4347791E-28,4.5881529E-29,2.9E-29,3.0E-29,8.9186982E-28,3.1E-29,3.2E-29,9.7131978E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.5456689E8,1.5581218E8,1.3792451E30,3659585.4,-1.8751496E15,-464922.85,9.1506895E16,1.9294816E23,1.3681614E8,1.0E-30,1.0E-30,1.4776063E-6,1.1E-29,0.49999926,1.5386496E-23,7.8203322E-26,1.4000199E-29,2.3420138E-29,1.5E-29,0.49999926,2.8090013E-23,1.8E-29,1.9E-29,2.383228E-20,2.1000003E-29,2.2000669E-29,2.2E-29,1.8375592E-28,2.3E-29,2.4E-29,2.9281066E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4340143E-28,4.5877433E-29,2.9E-29,3.0E-29,8.9177588E-28,3.1E-29,3.2E-29,9.7121684E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.5581218E8,1.5705292E8,1.3791142E30,3614536.9,-1.8943393E15,-533022.57,9.1390505E16,1.9226339E23,1.3698054E8,1.0E-30,1.0E-30,1.0890643E-6,1.1E-29,0.49999946,1.5381787E-23,7.8794946E-26,1.4000156E-29,2.3420138E-29,1.5E-29,0.49999946,2.8096215E-23,1.8E-29,1.9E-29,1.8691963E-20,2.1000002E-29,2.2000667E-29,2.2E-29,1.8368551E-28,2.3E-29,2.4E-29,2.9271038E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4326761E-28,4.5870263E-29,2.9E-29,3.0E-29,8.9161155E-28,3.1E-29,3.2E-29,9.7103677E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.5705292E8,1.5823716E8,1.3792844E30,3729447.8,-1.9196647E15,-459537.07,9.1259449E16,1.9153941E23,1.3688108E8,1.0E-30,1.0E-30,1.7805875E-6,1.1E-29,0.49999911,1.5380566E-23,7.919422E-26,1.4000237E-29,2.3420138E-29,1.5E-29,0.49999911,2.8097841E-23,1.8E-29,1.9E-29,2.8350303E-20,2.1000004E-29,2.2000667E-29,2.2E-29,1.836812E-28,2.3E-29,2.4E-29,2.9270425E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4325945E-28,4.5869824E-29,2.9E-29,3.0E-29,8.9160155E-28,3.1E-29,3.2E-29,9.7102581E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.5823716E8,1.5945895E8,1.3791161E30,3559798.4,-1.9614996E15,-556293.77,9.1090832E16,1.9054927E23,1.3724804E8,1.0E-30,1.0E-30,1.7452794E-6,1.1E-29,0.49999913,1.5375272E-23,7.9793524E-26,1.4000247E-29,2.3420138E-29,1.5E-29,0.49999913,2.8104783E-23,1.8E-29,1.9E-29,3.0377943E-20,2.1000004E-29,2.2000664E-29,2.2E-29,1.8354433E-28,2.3E-29,2.4E-29,2.9250916E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4299887E-28,4.5855899E-29,2.9E-29,3.0E-29,8.9128127E-28,3.1E-29,3.2E-29,9.7067479E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.5945895E8,1.6063644E8,1.3791682E30,3638739.3,-1.9695975E15,-464626.67,9.1035306E16,1.9024857E23,1.3703337E8,1.0E-30,1.0E-30,1.5257527E-6,1.1E-29,0.49999924,1.5374389E-23,7.9853549E-26,1.4000215E-29,2.3420138E-29,1.5E-29,0.49999924,2.8105968E-23,1.8E-29,1.9E-29,2.66695E-20,2.1000004E-29,2.2000665E-29,2.2E-29,1.8358812E-28,2.3E-29,2.4E-29,2.9257165E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4308246E-28,4.5860346E-29,2.9E-29,3.0E-29,8.9138417E-28,3.1E-29,3.2E-29,9.707876E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6063644E8,1.6179765E8,1.3792388E30,3636584.2,-2.0119923E15,-532301.32,9.0808281E16,1.8897332E23,1.3712084E8,1.0E-30,1.0E-30,1.8425075E-6,1.1E-29,0.49999908,1.537291E-23,7.9963336E-26,1.4000239E-29,2.3420138E-29,1.5E-29,0.49999908,2.8107896E-23,1.8E-29,1.9E-29,2.8478528E-20,2.1000004E-29,2.2000662E-29,2.2E-29,1.8347263E-28,2.3E-29,2.4E-29,2.9240712E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4286285E-28,4.5848596E-29,2.9E-29,3.0E-29,8.9111437E-28,3.1E-29,3.2E-29,9.7049192E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6179765E8,1.6295551E8,1.3791415E30,3594976.8,-2.0352439E15,-502546.39,9.077962E16,1.8880749E23,1.3706442E8,1.0E-30,1.0E-30,2.9886643E-6,1.1E-29,0.49999851,1.5372882E-23,7.9990753E-26,1.4000398E-29,2.3420138E-29,1.5E-29,0.49999851,2.8107918E-23,1.8E-29,1.9E-29,4.9547143E-20,2.1000007E-29,2.2000662E-29,2.2E-29,1.8348575E-28,2.3E-29,2.4E-29,2.9242578E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4288772E-28,4.5849934E-29,2.9E-29,3.0E-29,8.9114488E-28,3.1E-29,3.2E-29,9.7052537E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6295551E8,1.6410017E8,1.3791513E30,3585415.3,-2.0616552E15,-563364.34,9.0588584E16,1.8771389E23,1.3736474E8,1.0E-30,1.0E-30,3.1295541E-6,1.1E-29,0.49999844,1.536772E-23,8.0610862E-26,1.4000404E-29,2.3420138E-29,1.5E-29,0.49999844,2.8114718E-23,1.8E-29,1.9E-29,4.8888255E-20,2.1000007E-29,2.2000659E-29,2.2E-29,1.8335788E-28,2.3E-29,2.4E-29,2.9224353E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4264436E-28,4.583692E-29,2.9E-29,3.0E-29,8.9084582E-28,3.1E-29,3.2E-29,9.7019761E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6410017E8,1.6522658E8,1.3791439E30,3593414.4,-2.0803306E15,-509056.72,9.0458386E16,1.8700715E23,1.3719978E8,1.0E-30,1.0E-30,2.2877333E-6,1.1E-29,0.49999886,1.5366953E-23,8.0644454E-26,1.4000288E-29,2.3420138E-29,1.5E-29,0.49999886,2.8115725E-23,1.8E-29,1.9E-29,3.4191694E-20,2.1000005E-29,2.2000658E-29,2.2E-29,1.8334019E-28,2.3E-29,2.4E-29,2.9221846E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4261108E-28,4.5835114E-29,2.9E-29,3.0E-29,8.9080515E-28,3.1E-29,3.2E-29,9.7015307E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6522658E8,1.6633947E8,1.379151E30,3588133.7,-2.1182577E15,-526251.84,9.0376469E16,1.8653336E23,1.3723748E8,1.0E-30,1.0E-30,4.6102906E-6,1.1E-29,0.49999769,1.5367595E-23,8.0471105E-26,1.4000563E-29,2.3420138E-29,1.5E-29,0.49999769,2.8114853E-23,1.8E-29,1.9E-29,6.9147103E-20,2.1000009E-29,2.2000657E-29,2.2E-29,1.8328984E-28,2.3E-29,2.4E-29,2.9214661E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4251505E-28,4.5829998E-29,2.9E-29,3.0E-29,8.9068699E-28,3.1E-29,3.2E-29,9.7002356E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6633947E8,1.6744766E8,1.3791873E30,3555658.5,-2.1341648E15,-498916.52,9.023306E16,1.8576504E23,1.3700427E8,1.0E-30,1.0E-30,2.5158465E-6,1.1E-29,0.49999874,1.5367874E-23,8.0218706E-26,1.400028E-29,2.3420138E-29,1.5E-29,0.49999874,2.811449E-23,1.8E-29,1.9E-29,3.1123498E-20,2.1000004E-29,2.2000657E-29,2.2E-29,1.8328839E-28,2.3E-29,2.4E-29,2.9214458E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.425124E-28,4.5829846E-29,2.9E-29,3.0E-29,8.906838E-28,3.1E-29,3.2E-29,9.7002008E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6744766E8,1.6853832E8,1.3792329E30,3565778.9,-2.1679303E15,-552521.16,9.0081692E16,1.8489487E23,1.3735224E8,1.0E-30,1.0E-30,4.8080797E-6,1.1E-29,0.4999976,1.5362317E-23,8.1211321E-26,1.4000554E-29,2.3420138E-29,1.5E-29,0.4999976,2.8121809E-23,1.8E-29,1.9E-29,6.4423282E-20,2.1000009E-29,2.2000654E-29,2.2E-29,1.8317244E-28,2.3E-29,2.4E-29,2.9197934E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4229177E-28,4.5818048E-29,2.9E-29,3.0E-29,8.904127E-28,3.1E-29,3.2E-29,9.6972297E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.6853832E8,1.696148E8,1.3791487E30,3566346.8,-2.180016E15,-577645.52,8.9996885E16,1.844174E23,1.3734192E8,1.0E-30,1.0E-30,4.8060945E-6,1.1E-29,0.4999976,1.5365286E-23,8.0458962E-26,1.4000531E-29,2.3420137E-29,1.5E-29,0.4999976,2.8117851E-23,1.8E-29,1.9E-29,6.3054891E-20,2.1000009E-29,2.2000652E-29,2.2E-29,1.8309425E-28,2.3E-29,2.4E-29,2.918679E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4214302E-28,4.5810098E-29,2.9E-29,3.0E-29,8.9022988E-28,3.1E-29,3.2E-29,9.6952262E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.696148E8,1.7069084E8,1.3792441E30,3523086.9,-2.2152486E15,-484928.01,8.9847267E16,1.8362852E23,1.3702617E8,1.0E-30,1.0E-30,2.3110747E-6,1.1E-29,0.49999884,1.5365297E-23,8.0371644E-26,1.4000257E-29,2.3420138E-29,1.5E-29,0.49999884,2.8117849E-23,1.8E-29,1.9E-29,2.7768618E-20,2.1000004E-29,2.2000652E-29,2.2E-29,1.8312464E-28,2.3E-29,2.4E-29,2.9191124E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4220091E-28,4.5813187E-29,2.9E-29,3.0E-29,8.9030106E-28,3.1E-29,3.2E-29,9.6960063E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.7069084E8,1.7175668E8,1.3790582E30,3511981.2,-2.2558757E15,-629677.74,8.9706475E16,1.8282565E23,1.3723774E8,1.0E-30,1.0E-30,3.624121E-6,1.1E-29,0.49999819,1.5364656E-23,8.030217E-26,1.4000399E-29,2.3420138E-29,1.5E-29,0.49999819,2.811865E-23,1.8E-29,1.9E-29,4.3490237E-20,2.1000006E-29,2.2000649E-29,2.2E-29,1.8300369E-28,2.3E-29,2.4E-29,2.9173883E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4197071E-28,4.5800884E-29,2.9E-29,3.0E-29,8.9001813E-28,3.1E-29,3.2E-29,9.6929055E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
1.7175668E8,1.727959E8,1.3792921E30,3558649.2,-2.272954E15,-498208.78,8.9594616E16,1.8223432E23,1.3698824E8,1.0E-30,1.0E-30,7.0242758E-6,1.1E-29,0.49999649,1.5366764E-23,7.983987E-26,1.4000723E-29,2.3420137E-29,1.5E-29,0.49999649,2.8115866E-23,1.8E-29,1.9E-29,8.3166661E-20,2.1000011E-29,2.2000649E-29,2.2E-29,1.8298571E-28,2.3E-29,2.4E-29,2.917133E-28,2.6E-29,2.5E-29,2.6E-29,2.7E-29,2.8E-29,5.4193682E-28,4.5799054E-29,2.9E-29,3.0E-29,8.8997666E-28,3.1E-29,3.2E-29,9.6924515E-28,3.3E-29,3.4E-29,3.5E-29,3.6E-29,3.7E-29,3.8E-29,3.9E-29,3.9E-29,4.0E-29,4.3E-29,4.4E-29,4.7E-29,4.8E-29,5.1E-29,5.2E-29,5.4E-29,5.5E-29,5.6E-29,5.8E-29,5.9E-29
