                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230704"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     171                                      557                  1.4043746079039779E+007                  5.7917593755184091E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  2.0883815803029565E-001                  1.3441153004343420E-001                  7.8131047121648978E-008                  9.9999999996475009E-001                  9.9999288016863885E-001                  1.3441153004343420E-001                  7.8131047121648978E-008                  9.9999999996475009E-001                  9.9999288016863885E-001                  6.0218253982555825E-001                 -4.2679682241022668E+001                 -1.5051499783199059E+001                  6.0218253982555836E-001                  2.6480011299461031E-001                  3.3469574340407887E-001                 -4.2679682241022668E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.1696888718076441E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8162656716652190E+000                  6.4385642941245869E-001                  2.1205003224028807E-001                  4.1900588218782380E+000                  0.0000000000000000E+000                  1.7126993269773642E+001                  1.7756437174069453E+000                  7.2234843577066759E+000                  6.2138294906690661E-001                  8.4974634367068413E-001                  1.2974277477035718E+000                  6.9948470932569617E-001                  2.8017326470785964E-001                  1.5380965627101208E-003                  9.3802139364697022E-003                  3.4468833607861271E-003                  9.3805276451495393E-003                  1.0498607105430111E+000                  4.2000500267627899E-001                                        0                                       21 
                                     172                                      562                  1.4678227759897094E+007                  5.8024190873961548E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  1.8986819365408561E-001                  1.2176008382091608E-001                  7.8131047565738188E-008                  9.9999999996475009E-001                  9.9999977995292388E-001                  1.2176008382091608E-001                  7.8131047565738188E-008                  9.9999999996475009E-001                  9.9999977995292388E-001                  5.8137468237061951E-001                 -4.2530614185899147E+001                 -9.8999999999999986E+001                  5.8137468237061940E-001                  2.8779642101803288E-001                  2.7276285822150159E-001                 -4.2530614185899147E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0400254840226413E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8174773507382929E+000                  6.3894173915002306E-001                  2.0716932896292298E-001                  4.1998202284329675E+000                  0.0000000000000000E+000                  1.7140873596069380E+001                  1.7868614203870838E+000                  7.2261447338455804E+000                  6.2144035842272760E-001                  8.4969138838349190E-001                  1.2975935345273264E+000                  6.9937529042894597E-001                  2.8021900504002745E-001                  1.1470785175107449E-003                  9.3800853227637114E-003                  3.4468833607861266E-003                  9.3805276451495410E-003                  1.0498335433662647E+000                  4.2001630542426821E-001                                        0                                        5 
                                     173                                      563                  1.5439605776925875E+007                  5.8816003334437799E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  1.7146042827413097E-001                  1.0929197678680713E-001                  7.8131047121648978E-008                  9.9999999996475009E-001                  9.9999982847967284E-001                  1.0929197678680713E-001                  7.8131047121648978E-008                  9.9999999996475009E-001                  9.9999982847967284E-001                  5.7058993690729787E-001                 -4.2279912188310277E+001                 -9.8999999999999986E+001                  5.7058993690729742E-001                  3.3168329407323016E-001                  1.9704275447437702E-001                 -4.2279912188310277E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.1672106805479620E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8211580937123051E+000                  6.4774339069380216E-001                  2.0420866878678859E-001                  4.2057415487852365E+000                  0.0000000000000000E+000                  1.7164482171944144E+001                  1.8059627607375912E+000                  7.2306243912143069E+000                  6.2150775588433327E-001                  8.4962615576819234E-001                  1.2977864865503610E+000                  6.9924545573891717E-001                  2.8028254744214565E-001                  7.3781012009199742E-004                  9.3798654031632556E-003                  3.4468833607861271E-003                  9.3805276451495410E-003                  1.0498022605474548E+000                  4.2003165797352410E-001                                        0                                        5 
                                     174                                      565                  1.6353259397360411E+007                  5.9607815794914050E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  1.5058062696219010E-001                  1.0009225401365263E-001                  7.8131047121648978E-008                  9.9999999996475009E-001                  9.9999993763997685E-001                  1.0009225401365263E-001                  7.8131047121648978E-008                  9.9999999996475009E-001                  9.9999993763997685E-001                  5.7237853749144363E-001                 -4.1914318489543980E+001                 -9.8999999999999986E+001                  5.7237853749144363E-001                  3.9638423413797153E-001                  9.5063306407472459E-002                 -4.1914318489543980E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.1458046622871893E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8274308868865097E+000                  6.6525278253680509E-001                  2.0041777835988014E-001                  4.2133233296390538E+000                  0.0000000000000000E+000                  1.7198500808555192E+001                  1.8333459011712503E+000                  7.2372011420781686E+000                  6.2158489756798740E-001                  8.4955007597236276E-001                  1.2980037567137301E+000                  6.9909407761017595E-001                  2.8037526756548570E-001                  3.7147552306228220E-004                  9.3794384270386322E-003                  3.4468833607861253E-003                  9.3805276451495428E-003                  1.0497656920964933E+000                  4.2005377141472450E-001                                        0                                        5 
                                     175                                      570                  1.7449643741881851E+007                  6.0399628255390301E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  1.2526980704834711E-001                  8.2128463129194418E-002                  7.8131047565738188E-008                  9.9999999997412503E-001                  9.9999998565482451E-001                  8.2128463129194418E-002                  7.8131047565738188E-008                  9.9999999997412503E-001                  9.9999998565482451E-001                  5.9249970237421090E-001                 -4.1487806311056204E+001                 -1.4875408524143378E+001                  5.9249970237421101E-001                  4.7073619827218249E-001                 -1.9227698303334963E-002                 -4.1487806311056204E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.8824384656221691E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8353497717565133E+000                  6.8395114619689290E-001                  1.9392919044991647E-001                  4.2263005054589806E+000                  0.0000000000000000E+000                  1.7238861924390214E+001                  1.8659368747460290E+000                  7.2448915967664016E+000                  6.2167460123679563E-001                  8.4945914088787366E-001                  1.2982495944507995E+000                  6.9891309002555968E-001                  2.8051920318271639E-001                  1.3256745357015582E-004                  9.3784920981499348E-003                  3.4468833607861266E-003                  9.3805276451495393E-003                  1.0497212178751427E+000                  4.2008631599967627E-001                                        0                                        5 
                                     176                                      580                  1.8765304955307584E+007                  6.1191440715866543E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  9.4556078427879470E-002                  6.2113049255919983E-002                  7.8131047121648978E-008                  9.9999999997881250E-001                  9.9999999480039747E-001                  6.2113049255919983E-002                  7.8131047121648978E-008                  9.9999999997881250E-001                  9.9999999480039747E-001                  6.3024376434156149E-001                 -4.1119367912446577E+001                 -1.5051499783199059E+001                  6.3024376434156149E-001                  5.3157251665124339E-001                 -6.1751868954458229E-002                 -4.1119367912446577E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.4151150403549512E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8420122911037802E+000                  6.9442945785709864E-001                  1.8584330758548540E-001                  4.2424722711878431E+000                  0.0000000000000000E+000                  1.7272082702353789E+001                  1.8923866376784877E+000                  7.2516204084930225E+000                  6.2178918613579504E-001                  8.4934038871120987E-001                  1.2985554437718494E+000                  6.9867636162422142E-001                  2.8074353447146022E-001                  4.2651860963512501E-005                  9.3764043898436327E-003                  3.4468833607861253E-003                  9.3805276451495393E-003                  1.0496639936705641E+000                  4.2013231254585159E-001                                        0                                        5 
                                     177                                      581                  2.0344098411418460E+007                  6.1983253176342794E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  7.1536702960913467E-002                  4.6034992825388366E-002                  7.8131046677559768E-008                  9.9999999870850043E-001                  9.9999999572686737E-001                  4.6034992825388366E-002                  7.8131046677559768E-008                  9.9999999870850043E-001                  9.9999999572686737E-001                  6.6188092226297279E-001                 -4.0856629612916528E+001                 -9.8999999999999986E+001                  6.6188092226297279E-001                  5.6782966839363103E-001                 -4.8716097770941706E-002                 -4.0856629612916528E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.4677487231379816E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8457610740721764E+000                  6.9506009512749656E-001                  1.7866106028389325E-001                  4.2568367657910278E+000                  0.0000000000000000E+000                  1.7290446405364111E+001                  1.9058059178059705E+000                  7.2566135170837045E+000                  6.2194924174301069E-001                  8.4917348131640991E-001                  1.2989782889161738E+000                  6.9834311339032429E-001                  2.8107607531021045E-001                  2.5141430382250521E-005                  9.3723136471079299E-003                  3.4468833607861253E-003                  9.3805276451495410E-003                  1.0495902842507052E+000                  4.2019320414752764E-001                                        0                                        5 
                                     178                                      575                  2.2238650558751512E+007                  6.2775065636819036E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  6.2484904721594854E-002                  4.1023723688748071E-002                  7.8131046455515163E-008                  9.9999999875537515E-001                  9.9999999607824774E-001                  4.1023723688748071E-002                  7.8131046455515163E-008                  9.9999999875537515E-001                  9.9999999607824774E-001                  6.7716529664830571E-001                 -4.0685555413625309E+001                 -1.4574378528479397E+001                  6.7716529664830594E-001                  5.8662098148433217E-001                 -4.8243717784985853E-002                 -4.0685555413625309E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.7550068518232454E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8474059530091433E+000                  6.9167573330879495E-001                  1.7367912150060788E-001                  4.2668006433575982E+000                  0.0000000000000000E+000                  1.7298328519549688E+001                  1.9104269994914975E+000                  7.2600020782282551E+000                  6.2216135794648397E-001                  8.4895240184181542E-001                  1.2995376285836562E+000                  6.9790123240683566E-001                  2.8151931753582765E-001                  2.3569324491692018E-005                  9.3659987457070017E-003                  3.4468833607861253E-003                  9.3805276451495410E-003                  1.0494986658342607E+000                  4.2027031279507021E-001                                        0                                        5 
                                     179                                      585                  2.4512113135551173E+007                  6.3566878097295287E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  6.4132103920381767E-002                  4.1023723688748293E-002                  7.8131046677559768E-008                  9.9999999875537549E-001                  9.9999999625871694E-001                  4.1023723688748293E-002                  7.8131046677559768E-008                  9.9999999875537549E-001                  9.9999999625871694E-001                  6.8255401371552449E-001                 -4.0579301560777616E+001                 -9.8999999999999986E+001                  6.8255401371552427E-001                  5.9699286009419472E-001                 -6.5032113229838789E-002                 -4.0579301560777616E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.1018608882997596E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8481720212940176E+000                  6.8889100459724861E-001                  1.7075462057508628E-001                  4.2726496452086415E+000                  0.0000000000000000E+000                  1.7301867458220389E+001                  1.9120149543141642E+000                  7.2621323497763015E+000                  6.2242703750688699E-001                  8.4867579061159693E-001                  1.3002381648141434E+000                  6.9734812818521019E-001                  2.8207384733945706E-001                  2.3677244145207405E-005                  9.3575757140170468E-003                  3.4468833607861253E-003                  9.3805276451495410E-003                  1.0493875940163524E+000                  4.2036585380392105E-001                                        0                                        5 
